name,address,link
"אנסטסיה","פרישמן 54, תל אביב","https://www.anastasiatlv.co.il"
"אל גליל","האורנים 98, אמירים","https://www.facebook.com/elianashkarr"
"אניצ׳ה","דיזינגוף 54, תל אביב","https://www.anicca.co.il"
"Mor&more","גבעת השלושה","https://morandmore.co.il"
"חוביזה","הרצל 44, כפר סבא","https://www.instagram.com/hubeza_vegan"
"שועלה","ניר יפה","https://www.instagram.com/shooala_vegan_coffee_trailer"
"נשה","דרך האחיות 14, ירושלים","https://www.facebook.com/photo/?fbid=2111006522741325&set=pcb.10037466896344082"
"אלפקה בר","פלורנטין 40, תל אביב","https://www.facebook.com/profile.php?id=100090122100930"
"גודנס","המלך ג'ורג 32, תל אביב","https://www.instagram.com/goodness_tlv_il"
"גרין רול סושי","אחד העם 11, תל אביב","https://thegreenroll.co.il/"
"החתול הירוק","לבונטין 7, תל אביב","https://www.facebook.com/greencatvegan"
"ריינבו","אבן גבירול 88, תל אביב","https://www.facebook.com/rainbowpitta"
"קפה אווה","אבן גבירול 129, תל אביב","https://www.instagram.com/cafe.eva.tlv"
"פלאפל סומסום","אלנבי 78, תל אביב","https://www.facebook.com/profile.php?id=100083385480517"
"הטבעונית J17","ירמיהו 17, תל אביב","https://www.facebook.com/J17vegan"
"משק ברזילי","אחד העם 8, תל אביב","https://www.facebook.com/profile.php?id=100091595333751"
"סימונצ׳ו קייקס","דרך שלמה 3, תל אביב","https://www.facebook.com/Simonchu.cakes"
"אופה","החלוצים 8, תל אביב","https://www.facebook.com/opatlv"
"טנאת","צ'לנוב 27, תל אביב","https://www.facebook.com/tenatvegan"

